code,name,type,icao_state,country,iso2,eurocontrol_member,eurocontrol_entry,fab,min_fl,max_fl,airac_cfmu,source_features
WAAFFIR,UJUNG PANDANG AND AROUND,FIR,WA,,,false,,,0,999,524,1
WBFCFIR,KOTA KINABALU FIR,FIR,WB,,,false,,,0,999,524,1
WIIFFIR,JAKARTA,FIR,WI,,,false,,,0,999,524,1
WMFCFIR,KUALA LUMPUR FIR,FIR,WM,,,false,,,0,999,524,1
WSJCFIR,SINGAPORE FIR,FIR,WS,,,false,,,0,999,524,1
XXXX,NO FIR WEST OF PERU,OTHER,XX,,,false,,,0,999,524,1
XXXXFIR,FIR XX,FIR,XX,,,false,,,0,999,524,1
YBBBFIR,BRISBANE FIR,FIR,YB,,,false,,,0,999,524,1
YMMMFIR,MELBOURNE FIR,FIR,YM,,,false,,,0,999,524,1
ZBPEFIR,BEIJING FIR,FIR,ZB,,,false,,,0,999,524,1
ZGZUFIR,GUANGZHOU FIR,FIR,ZG,,,false,,,0,999,524,1
ZHWHFIR,WUHAN FIR,FIR,ZH,,,false,,,0,999,524,1
ZJSAFIR,SANYA FIR,FIR,ZJ,,,false,,,0,999,524,1
ZKKPFIR,PYONGYANG FIR,FIR,ZK,,,false,,,0,999,524,1
ZLHWFIR,LANZHOU FIR,FIR,ZL,,,false,,,0,999,524,1
ZMUBFIR,ULAANBAATAR FIR,FIR,ZM,,,false,,,0,999,524,1
ZPKMFIR,KUNMING FIR,FIR,ZP,,,false,,,0,999,524,1
ZSHAFIR,SHANGHAI FIR,FIR,ZS,,,false,,,0,999,524,1
ZWUQFIR,URUMQI FIR,FIR,ZW,,,false,,,0,999,524,1
ZYSHFIR,SHENYANG FIR,FIR,ZY,,,false,,,0,999,524,1
